epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,10557.8,0.94094,0.64354,1.21834,0.97129,0.94372,0.9664,0.81879,0.59041,0.35898,0.93757,0.00399208,0.00399208,0.00399208
115,10657.6,0.94103,0.64406,1.21504,0.97287,0.94428,0.95927,0.81593,0.62322,0.39662,0.97135,0.00391537,0.00391537,0.00391537
116,10748.2,0.95585,0.64344,1.2244,0.96003,0.94776,0.9624,0.83723,0.56877,0.36919,0.94186,0.00383894,0.00383894,0.00383894
117,10836.5,0.91086,0.62466,1.20207,0.95826,0.92771,0.94422,0.83988,0.55485,0.3387,0.92888,0.00376279,0.00376279,0.00376279
118,10922.7,0.95133,0.63319,1.22997,0.97547,0.95186,0.96222,0.84318,0.55773,0.34469,0.93654,0.00368695,0.00368695,0.00368695
119,11020.7,0.92127,0.62561,1.20432,0.97424,0.94359,0.95946,0.84037,0.55592,0.34091,0.93455,0.00361144,0.00361144,0.00361144
120,11110.7,0.90326,0.61282,1.20108,0.98813,0.93042,0.95831,0.83711,0.564,0.34018,0.94278,0.00353627,0.00353627,0.00353627
121,11208.8,0.91241,0.62324,1.20985,0.94909,0.92907,0.94035,0.83014,0.56547,0.35956,0.93717,0.00346146,0.00346146,0.00346146
122,11298,0.91966,0.62095,1.21105,0.94852,0.92573,0.94677,0.83348,0.57507,0.36888,0.93415,0.00338703,0.00338703,0.00338703
123,11399.7,0.91043,0.61171,1.20464,0.94274,0.93023,0.93206,0.80312,0.6465,0.39336,0.97274,0.003313,0.003313,0.003313
124,11501.4,0.91485,0.60135,1.20263,0.95158,0.93042,0.9401,0.83967,0.54842,0.3545,0.92907,0.00323939,0.00323939,0.00323939
125,11598.6,0.90341,0.61279,1.19523,0.96048,0.92676,0.93878,0.83216,0.5339,0.36272,0.91726,0.00316622,0.00316622,0.00316622
126,11692.1,0.90885,0.60919,1.20319,0.96185,0.95245,0.96433,0.82553,0.55959,0.35233,0.93209,0.0030935,0.0030935,0.0030935
127,11792.8,0.89462,0.59295,1.18943,0.97801,0.952,0.96327,0.83264,0.55932,0.35291,0.93151,0.00302125,0.00302125,0.00302125
128,11884,0.90608,0.6081,1.19771,0.97078,0.9445,0.96023,0.82946,0.55164,0.36657,0.92541,0.00294949,0.00294949,0.00294949
